"Politician Name","Total_Transactions","Very_Good_Decisions","p_value","statistic","Proportion"
"Austin Scott",46,22,0.000911511595928703,22,47.8260869565217
"Bobby Scott",9,6,0.0099945068359375,6,66.6666666666667
"Chuck Fleischmann",154,52,0.0152333293967279,52,33.7662337662338
"Cindy Axne",72,34,5.24481156338136e-05,34,47.2222222222222
"Dan Newhouse",86,34,0.0038014932273888,34,39.5348837209302
"Diana Harshbarger",2541,793,1.83564088329223e-12,793,31.2081857536403
"Eric Burlison",5,5,0.0009765625,5,100
"Frank Pallone",5,4,0.015625,4,80
"Markwayne Mullin",147,53,0.00299474395988981,53,36.0544217687075
"Michael McCaul",4113,1138,9.29195826279395e-05,1138,27.6683685874058
"Neal Dunn",32,15,0.00713535750082829,15,46.875
"Ron Wyden",28,14,0.00409885646319782,14,50
"Thomas Kean Jr",22,10,0.0443739694422334,10,45.4545454545455
"Trey Hollingsworth",9,8,0.0001068115234375,8,88.8888888888889
"Van Taylor",9,5,0.0489273071289063,5,55.5555555555556
